0 05:00;0 11:45;;AC;876;Air Canada;A333;CGHKW;YYZ;CYYZ;Toronto;Kanada;
0 06:00;0 11:45;;AC;876;Air Canada;A333;CGHKW;YYZ;CYYZ;Toronto;Kanada;
0 07:00;0 11:45;;AC;876;Air Canada;A333;CGHKW;YYZ;CYYZ;Toronto;Kanada;
0 08:00;0 11:45;;AC;876;Air Canada;A333;CGHKW;YYZ;CYYZ;Toronto;Kanada;
0 09:00;0 11:45;;AC;876;Air Canada;A333;CGHKW;YYZ;CYYZ;Toronto;Kanada;
0 10:00;0 11:45;;AC;876;Air Canada;A333;CGHKW;YYZ;CYYZ;Toronto;Kanada;
0 11:00;0 11:45;;AC;876;Air Canada;A333;CGHKW;YYZ;CYYZ;Toronto;Kanada;
0 12:00;0 11:45;;AC;876;Air Canada;A333;CGHKW;YYZ;CYYZ;Toronto;Kanada;gelandet
0 12:00;1 11:45;;AC;876;Air Canada;A333;;YYZ;CYYZ;Toronto;Kanada;
0 13:00;0 11:45;;AC;876;Air Canada;A333;CGHKW;YYZ;CYYZ;Toronto;Kanada;Gepäckausgabe
0 13:00;1 11:45;;AC;876;Air Canada;A333;;YYZ;CYYZ;Toronto;Kanada;
0 14:00;0 11:45;;AC;876;Air Canada;A333;CGHKW;YYZ;CYYZ;Toronto;Kanada;Gepäckausgabe beendet
0 14:00;1 11:45;;AC;876;Air Canada;A333;;YYZ;CYYZ;Toronto;Kanada;
0 15:00;1 11:45;;AC;876;Air Canada;A333;;YYZ;CYYZ;Toronto;Kanada;
0 16:00;1 11:45;;AC;876;Air Canada;A333;;YYZ;CYYZ;Toronto;Kanada;
0 17:00;1 11:45;;AC;876;Air Canada;A333;;YYZ;CYYZ;Toronto;Kanada;
0 18:00;1 11:45;;AC;876;Air Canada;A333;;YYZ;CYYZ;Toronto;Kanada;
0 19:00;1 11:45;;AC;876;Air Canada;A333;;YYZ;CYYZ;Toronto;Kanada;
0 20:00;1 11:45;;AC;876;Air Canada;A333;;YYZ;CYYZ;Toronto;Kanada;
0 21:00;1 11:45;;AC;876;Air Canada;A333;CGHKW;YYZ;CYYZ;Toronto;Kanada;
0 22:00;1 11:45;;AC;876;Air Canada;A333;CGHKW;YYZ;CYYZ;Toronto;Kanada;
0 23:00;1 11:45;;AC;876;Air Canada;A333;CGHKW;YYZ;CYYZ;Toronto;Kanada;
;;;;;;;;;;;;
1 05:00;0 11:45;;AC;876;Air Canada;A333;CGHKW;YYZ;CYYZ;Toronto;Kanada;
1 06:00;0 11:45;;AC;876;Air Canada;A333;CGHKW;YYZ;CYYZ;Toronto;Kanada;
1 07:00;0 11:45;;AC;876;Air Canada;A333;CGHKW;YYZ;CYYZ;Toronto;Kanada;
1 08:00;0 11:45;;AC;876;Air Canada;A333;CGHKW;YYZ;CYYZ;Toronto;Kanada;
1 09:00;0 11:45;;AC;876;Air Canada;A333;CGHKW;YYZ;CYYZ;Toronto;Kanada;
1 10:00;0 11:45;;AC;876;Air Canada;A333;CGHKW;YYZ;CYYZ;Toronto;Kanada;
1 11:00;0 11:45;;AC;876;Air Canada;A333;CGHKW;YYZ;CYYZ;Toronto;Kanada;
1 12:00;0 11:45;;AC;876;Air Canada;A333;CGHKW;YYZ;CYYZ;Toronto;Kanada;gelandet
1 12:00;1 11:45;;AC;876;Air Canada;A333;;YYZ;CYYZ;Toronto;Kanada;
1 13:00;0 11:45;;AC;876;Air Canada;A333;CGHKW;YYZ;CYYZ;Toronto;Kanada;Gepäckausgabe
1 13:00;1 11:45;;AC;876;Air Canada;A333;;YYZ;CYYZ;Toronto;Kanada;
1 14:00;0 11:45;;AC;876;Air Canada;A333;CGHKW;YYZ;CYYZ;Toronto;Kanada;Gepäckausgabe beendet
1 14:00;1 11:45;;AC;876;Air Canada;A333;;YYZ;CYYZ;Toronto;Kanada;
1 15:00;1 11:45;;AC;876;Air Canada;A333;;YYZ;CYYZ;Toronto;Kanada;
1 16:00;1 11:45;;AC;876;Air Canada;A333;;YYZ;CYYZ;Toronto;Kanada;
1 17:00;1 11:45;;AC;876;Air Canada;A333;;YYZ;CYYZ;Toronto;Kanada;
1 18:00;1 11:45;;AC;876;Air Canada;A333;;YYZ;CYYZ;Toronto;Kanada;
1 19:00;1 11:45;;AC;876;Air Canada;A333;;YYZ;CYYZ;Toronto;Kanada;
1 20:00;1 11:45;;AC;876;Air Canada;A333;;YYZ;CYYZ;Toronto;Kanada;
1 21:00;1 11:45;;AC;876;Air Canada;A333;CGHKW;YYZ;CYYZ;Toronto;Kanada;
1 22:00;1 11:45;;AC;876;Air Canada;A333;CGHKW;YYZ;CYYZ;Toronto;Kanada;
1 23:00;1 11:45;;AC;876;Air Canada;A333;CGHKW;YYZ;CYYZ;Toronto;Kanada;
