06:15;06:06;SA;260;South African Airways;A346;ZSSNH;JNB;FAOR;Johannesburg; Südafrika;Gepäckausgabe beendet
06:20;06:18;CX;289;Cathay Pacific Airways;B77W;BKPE; HKG;VHHH;Hongkong; Hong Kong;Gepäckausgabe
06:25;06:25;EY;001;Etihad Airways;A332;;AUH;OMAA;Abu Dhabi; Ver.Arab.Emirate;gelandet
07:00;07:00;AC;872;Air Canada;B77W;CFITW;YYZ;CYYZ;Toronto; Kanada;im Anflug
13:30;15:34;DE;5249;Condor;B763;DABUD;POP;MDPP;Puerto Plata; Dominikan. Rep.;im Anflug
14:50;14:50;LH;3617;Lufthansa;TRN;;QKL;;Köln Hbf; Deutschland;Zug
15:20;;JP;112;Adria Airways;;;LJU;LJLJ;Ljubljana; Slowenien ;annulliert
15:25;05:30;DE;6369;Condor;B763;DABUM;HKT;VTSP;Phuket; Thailand;verspätet auf 31.12.
20:15;20:15;LH;031;Lufthansa;A321;DAISQ;HAM;EDDH;Hamburg; Deutschland;
22:30;21:58;TP;578;TAP Portugal;A320;CSTNP;LIS;LPPT;Lissabon; Portugal;
