#now;dir;sched;esti;lu;typ;al;fnr;alname;iata;ac;reg;status
0 05:00;A;0 22:30 /*=12*/;;;P;TP;578;TAP Portugal;LIS;A320;;
0 06:00;A;0 22:30;;;P;TP;578;TAP Portugal;LIS;A320;;
0 07:00;A;0 22:30;;;P;TP;578;TAP Portugal;LIS;A320;;
0 08:00;A;0 22:30;;;P;TP;578;TAP Portugal;LIS;A320;;
0 09:00;A;0 22:30;;;P;TP;578;TAP Portugal;LIS;A320;;
0 10:00;A;0 22:30;;;P;TP;578;TAP Portugal;LIS;A320;;
0 11:00;A;0 22:30;;;P;TP;578;TAP Portugal;LIS;A320;;
0 12:00;A;0 22:30;;;P;TP;578;TAP Portugal;LIS;A320;;
0 13:00;A;0 22:30;;;P;TP;578;TAP Portugal;LIS;A320;;
0 14:00;A;0 22:30;;;P;TP;578;TAP Portugal;LIS;A320;;
0 15:00;A;0 22:30;;;P;TP;578;TAP Portugal;LIS;A320;;
0 16:00;A;0 22:30;;;P;TP;578;TAP Portugal;LIS;A320;;
0 17:00;A;0 22:30;;;P;TP;578;TAP Portugal;LIS;A320;;
0 18:00;A;0 22:30;;;P;TP;578;TAP Portugal;LIS;A320;;
0 19:00;A;0 22:30;;;P;TP;578;TAP Portugal;LIS;A320;;
0 20:00;A;0 22:30;;;P;TP;578;TAP Portugal;LIS;A320;;
0 21:00;A;0 22:30;;;P;TP;578;TAP Portugal;LIS;A320;CSTNP /*=7,3*/;
0 22:00;A;0 22:30;;;P;TP;578;TAP Portugal;LIS;A320;CSTNP;
0 23:00;A;0 22:30;;;P;TP;578;TAP Portugal;LIS;A320;CSTNP;gelandet
0 23:00;A;1 22:30 /*=48*/;;;P;TP;578;TAP Portugal;LIS;A320;;
1 05:00;A;0 22:30;;;P;TP;578;TAP Portugal;LIS;A320;;
1 06:00;A;0 22:30;;;P;TP;578;TAP Portugal;LIS;A320;;
1 07:00;A;0 22:30;;;P;TP;578;TAP Portugal;LIS;A320;;
1 08:00;A;0 22:30;;;P;TP;578;TAP Portugal;LIS;A320;;
1 09:00;A;0 22:30;;;P;TP;578;TAP Portugal;LIS;A320;;
1 10:00;A;0 22:30;;;P;TP;578;TAP Portugal;LIS;A320;;
1 11:00;A;0 22:30;;;P;TP;578;TAP Portugal;LIS;A320;;
1 12:00;A;0 22:30;;;P;TP;578;TAP Portugal;LIS;A320;;
1 13:00;A;0 22:30;;;P;TP;578;TAP Portugal;LIS;A320;;
1 14:00;A;0 22:30;;;P;TP;578;TAP Portugal;LIS;A320;;
1 15:00;A;0 22:30;;;P;TP;578;TAP Portugal;LIS;A320;;
1 16:00;A;0 22:30;;;P;TP;578;TAP Portugal;LIS;A320;;
1 17:00;A;0 22:30;;;P;TP;578;TAP Portugal;LIS;A320;;
1 18:00;A;0 22:30;;;P;TP;578;TAP Portugal;LIS;A320;;
1 19:00;A;0 22:30;;;P;TP;578;TAP Portugal;LIS;A320;;
1 20:00;A;0 22:30;;;P;TP;578;TAP Portugal;LIS;A320;;
1 21:00;A;0 22:30;;;P;TP;578;TAP Portugal;LIS;A320;CSTNP /*=7,6*/;
1 22:00;A;0 22:30;;;P;TP;578;TAP Portugal;LIS;A320;CSTNP;
1 23:00;A;0 22:30;;;P;TP;578;TAP Portugal;LIS;A320;CSTNP;gelandet
1 23:00;A;1 22:30 /*=72*/;2 05:00;;P;TP;578;TAP Portugal;LIS;A320;;verspätet auf 00.00.
